Survived,Pclass,Age,SibSp,Parch,Ticket,Fare,Cabin,FamilyCount,IsReverend,Embarked_C,Embarked_Q,Embarked_S,IsMale,Title
0,3,22.0,1,0,A/5 21171,7.25,¯\(ツ)/¯,1,0,0,0,1,1,Mr
1,1,38.0,1,0,PC 17599,71.2833,C85,1,0,1,0,0,0,Mrs
1,3,26.0,0,0,STON/O2. 3101282,7.925,¯\(ツ)/¯,0,0,0,0,1,0,Miss
1,1,35.0,1,0,113803,53.1,C123,1,0,0,0,1,0,Mrs
0,3,35.0,0,0,373450,8.05,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,,0,0,330877,8.4583,¯\(ツ)/¯,0,0,0,1,0,1,Mr
0,1,54.0,0,0,17463,51.8625,E46,0,0,0,0,1,1,Mr
0,3,2.0,3,1,349909,21.075,¯\(ツ)/¯,4,0,0,0,1,1,Master
1,3,27.0,0,2,347742,11.1333,¯\(ツ)/¯,2,0,0,0,1,0,Mrs
1,2,14.0,1,0,237736,30.0708,¯\(ツ)/¯,1,0,1,0,0,0,Mrs
1,3,4.0,1,1,PP 9549,16.7,G6,2,0,0,0,1,0,Miss
1,1,58.0,0,0,113783,26.55,C103,0,0,0,0,1,0,Miss
0,3,20.0,0,0,A/5. 2151,8.05,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,39.0,1,5,347082,31.275,¯\(ツ)/¯,6,0,0,0,1,1,Mr
0,3,14.0,0,0,350406,7.8542,¯\(ツ)/¯,0,0,0,0,1,0,Miss
1,2,55.0,0,0,248706,16.0,¯\(ツ)/¯,0,0,0,0,1,0,Mrs
0,3,2.0,4,1,382652,29.125,¯\(ツ)/¯,5,0,0,1,0,1,Master
1,2,,0,0,244373,13.0,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,31.0,1,0,345763,18.0,¯\(ツ)/¯,1,0,0,0,1,0,Mrs
1,3,,0,0,2649,7.225,¯\(ツ)/¯,0,0,1,0,0,0,Mrs
0,2,35.0,0,0,239865,26.0,¯\(ツ)/¯,0,0,0,0,1,1,Mr
1,2,34.0,0,0,248698,13.0,D56,0,0,0,0,1,1,Mr
1,3,15.0,0,0,330923,8.0292,¯\(ツ)/¯,0,0,0,1,0,0,Miss
1,1,28.0,0,0,113788,35.5,A6,0,0,0,0,1,1,Mr
0,3,8.0,3,1,349909,21.075,¯\(ツ)/¯,4,0,0,0,1,0,Miss
1,3,38.0,1,5,347077,31.3875,¯\(ツ)/¯,6,0,0,0,1,0,Mrs
0,3,,0,0,2631,7.225,¯\(ツ)/¯,0,0,1,0,0,1,Mr
0,1,19.0,3,2,19950,263.0,C23 C25 C27,5,0,0,0,1,1,Mr
1,3,,0,0,330959,7.8792,¯\(ツ)/¯,0,0,0,1,0,0,Miss
0,3,,0,0,349216,7.8958,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,1,40.0,0,0,PC 17601,27.7208,¯\(ツ)/¯,0,0,1,0,0,1,Don
1,1,,1,0,PC 17569,146.5208,B78,1,0,1,0,0,0,Mrs
1,3,,0,0,335677,7.75,¯\(ツ)/¯,0,0,0,1,0,0,Miss
0,2,66.0,0,0,C.A. 24579,10.5,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,1,28.0,1,0,PC 17604,82.1708,¯\(ツ)/¯,1,0,1,0,0,1,Mr
0,1,42.0,1,0,113789,52.0,¯\(ツ)/¯,1,0,0,0,1,1,Mr
1,3,,0,0,2677,7.2292,¯\(ツ)/¯,0,0,1,0,0,1,Mr
0,3,21.0,0,0,A./5. 2152,8.05,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,18.0,2,0,345764,18.0,¯\(ツ)/¯,2,0,0,0,1,0,Miss
1,3,14.0,1,0,2651,11.2417,¯\(ツ)/¯,1,0,1,0,0,0,Miss
0,3,40.0,1,0,7546,9.475,¯\(ツ)/¯,1,0,0,0,1,0,Mrs
0,2,27.0,1,0,11668,21.0,¯\(ツ)/¯,1,0,0,0,1,0,Mrs
0,3,,0,0,349253,7.8958,¯\(ツ)/¯,0,0,1,0,0,1,Mr
1,2,3.0,1,2,SC/Paris 2123,41.5792,¯\(ツ)/¯,3,0,1,0,0,0,Miss
1,3,19.0,0,0,330958,7.8792,¯\(ツ)/¯,0,0,0,1,0,0,Miss
0,3,,0,0,S.C./A.4. 23567,8.05,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,,1,0,370371,15.5,¯\(ツ)/¯,1,0,0,1,0,1,Mr
1,3,,0,0,14311,7.75,¯\(ツ)/¯,0,0,0,1,0,0,Miss
0,3,,2,0,2662,21.6792,¯\(ツ)/¯,2,0,1,0,0,1,Mr
0,3,18.0,1,0,349237,17.8,¯\(ツ)/¯,1,0,0,0,1,0,Mrs
0,3,7.0,4,1,3101295,39.6875,¯\(ツ)/¯,5,0,0,0,1,1,Master
0,3,21.0,0,0,A/4. 39886,7.8,¯\(ツ)/¯,0,0,0,0,1,1,Mr
1,1,49.0,1,0,PC 17572,76.7292,D33,1,0,1,0,0,0,Mrs
1,2,29.0,1,0,2926,26.0,¯\(ツ)/¯,1,0,0,0,1,0,Mrs
0,1,65.0,0,1,113509,61.9792,B30,1,0,1,0,0,1,Mr
1,1,,0,0,19947,35.5,C52,0,0,0,0,1,1,Mr
1,2,21.0,0,0,C.A. 31026,10.5,¯\(ツ)/¯,0,0,0,0,1,0,Miss
0,3,28.5,0,0,2697,7.2292,¯\(ツ)/¯,0,0,1,0,0,1,Mr
1,2,5.0,1,2,C.A. 34651,27.75,¯\(ツ)/¯,3,0,0,0,1,0,Miss
0,3,11.0,5,2,CA 2144,46.9,¯\(ツ)/¯,7,0,0,0,1,1,Master
0,3,22.0,0,0,2669,7.2292,¯\(ツ)/¯,0,0,1,0,0,1,Mr
0,1,45.0,1,0,36973,83.475,C83,1,0,0,0,1,1,Mr
0,3,4.0,3,2,347088,27.9,¯\(ツ)/¯,5,0,0,0,1,1,Master
0,1,,0,0,PC 17605,27.7208,¯\(ツ)/¯,0,0,1,0,0,1,Mr
1,3,,1,1,2661,15.2458,¯\(ツ)/¯,2,0,1,0,0,1,Master
1,2,29.0,0,0,C.A. 29395,10.5,F33,0,0,0,0,1,0,Mrs
0,3,19.0,0,0,S.P. 3464,8.1583,¯\(ツ)/¯,0,0,0,0,1,1,Mr
1,3,17.0,4,2,3101281,7.925,¯\(ツ)/¯,6,0,0,0,1,0,Miss
0,3,26.0,2,0,315151,8.6625,¯\(ツ)/¯,2,0,0,0,1,1,Mr
0,2,32.0,0,0,C.A. 33111,10.5,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,16.0,5,2,CA 2144,46.9,¯\(ツ)/¯,7,0,0,0,1,0,Miss
0,2,21.0,0,0,S.O.C. 14879,73.5,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,26.0,1,0,2680,14.4542,¯\(ツ)/¯,1,0,1,0,0,1,Mr
1,3,32.0,0,0,1601,56.4958,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,25.0,0,0,348123,7.65,F G73,0,0,0,0,1,1,Mr
0,3,,0,0,349208,7.8958,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,,0,0,374746,8.05,¯\(ツ)/¯,0,0,0,0,1,1,Mr
1,2,0.83,0,2,248738,29.0,¯\(ツ)/¯,2,0,0,0,1,1,Master
1,3,30.0,0,0,364516,12.475,¯\(ツ)/¯,0,0,0,0,1,0,Miss
0,3,22.0,0,0,345767,9.0,¯\(ツ)/¯,0,0,0,0,1,1,Mr
1,3,29.0,0,0,345779,9.5,¯\(ツ)/¯,0,0,0,0,1,1,Mr
1,3,,0,0,330932,7.7875,¯\(ツ)/¯,0,0,0,1,0,0,Miss
0,1,28.0,0,0,113059,47.1,¯\(ツ)/¯,0,0,0,0,1,1,Mr
1,2,17.0,0,0,SO/C 14885,10.5,¯\(ツ)/¯,0,0,0,0,1,0,Miss
1,3,33.0,3,0,3101278,15.85,¯\(ツ)/¯,3,0,0,0,1,0,Mrs
0,3,16.0,1,3,W./C. 6608,34.375,¯\(ツ)/¯,4,0,0,0,1,1,Mr
0,3,,0,0,SOTON/OQ 392086,8.05,¯\(ツ)/¯,0,0,0,0,1,1,Mr
1,1,23.0,3,2,19950,263.0,C23 C25 C27,5,0,0,0,1,0,Miss
0,3,24.0,0,0,343275,8.05,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,29.0,0,0,343276,8.05,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,20.0,0,0,347466,7.8542,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,1,46.0,1,0,W.E.P. 5734,61.175,E31,1,0,0,0,1,1,Mr
0,3,26.0,1,2,C.A. 2315,20.575,¯\(ツ)/¯,3,0,0,0,1,1,Mr
0,3,59.0,0,0,364500,7.25,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,,0,0,374910,8.05,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,1,71.0,0,0,PC 17754,34.6542,A5,0,0,1,0,0,1,Mr
1,1,23.0,0,1,PC 17759,63.3583,D10 D12,1,0,1,0,0,1,Mr
1,2,34.0,0,1,231919,23.0,¯\(ツ)/¯,1,0,0,0,1,0,Mrs
0,2,34.0,1,0,244367,26.0,¯\(ツ)/¯,1,0,0,0,1,1,Mr
0,3,28.0,0,0,349245,7.8958,¯\(ツ)/¯,0,0,0,0,1,0,Miss
0,3,,0,0,349215,7.8958,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,1,21.0,0,1,35281,77.2875,D26,1,0,0,0,1,1,Mr
0,3,33.0,0,0,7540,8.6542,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,37.0,2,0,3101276,7.925,¯\(ツ)/¯,2,0,0,0,1,1,Mr
0,3,28.0,0,0,349207,7.8958,¯\(ツ)/¯,0,0,0,0,1,1,Mr
1,3,21.0,0,0,343120,7.65,¯\(ツ)/¯,0,0,0,0,1,0,Miss
1,3,,0,0,312991,7.775,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,38.0,0,0,349249,7.8958,¯\(ツ)/¯,0,0,0,0,1,1,Mr
1,3,,1,0,371110,24.15,¯\(ツ)/¯,1,0,0,1,0,0,Miss
0,1,47.0,0,0,110465,52.0,C110,0,0,0,0,1,1,Mr
0,3,14.5,1,0,2665,14.4542,¯\(ツ)/¯,1,0,1,0,0,0,Miss
0,3,22.0,0,0,324669,8.05,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,20.0,1,0,4136,9.825,¯\(ツ)/¯,1,0,0,0,1,0,Miss
0,3,17.0,0,0,2627,14.4583,¯\(ツ)/¯,0,0,1,0,0,0,Miss
0,3,21.0,0,0,STON/O 2. 3101294,7.925,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,70.5,0,0,370369,7.75,¯\(ツ)/¯,0,0,0,1,0,1,Mr
0,2,29.0,1,0,11668,21.0,¯\(ツ)/¯,1,0,0,0,1,1,Mr
0,1,24.0,0,1,PC 17558,247.5208,B58 B60,1,0,1,0,0,1,Mr
0,3,2.0,4,2,347082,31.275,¯\(ツ)/¯,6,0,0,0,1,0,Miss
0,2,21.0,2,0,S.O.C. 14879,73.5,¯\(ツ)/¯,2,0,0,0,1,1,Mr
0,3,,0,0,A4. 54510,8.05,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,2,32.5,1,0,237736,30.0708,¯\(ツ)/¯,1,0,1,0,0,1,Mr
1,2,32.5,0,0,27267,13.0,E101,0,0,0,0,1,0,Miss
0,1,54.0,0,1,35281,77.2875,D26,1,0,0,0,1,1,Mr
1,3,12.0,1,0,2651,11.2417,¯\(ツ)/¯,1,0,1,0,0,1,Master
0,3,,0,0,370372,7.75,¯\(ツ)/¯,0,0,0,1,0,1,Mr
1,3,24.0,0,0,C 17369,7.1417,¯\(ツ)/¯,0,0,0,0,1,1,Mr
1,3,,1,1,2668,22.3583,F E69,2,0,1,0,0,0,Miss
0,3,45.0,0,0,347061,6.975,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,33.0,0,0,349241,7.8958,¯\(ツ)/¯,0,0,1,0,0,1,Mr
0,3,20.0,0,0,SOTON/O.Q. 3101307,7.05,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,47.0,1,0,A/5. 3337,14.5,¯\(ツ)/¯,1,0,0,0,1,0,Mrs
1,2,29.0,1,0,228414,26.0,¯\(ツ)/¯,1,0,0,0,1,0,Mrs
0,2,25.0,0,0,C.A. 29178,13.0,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,2,23.0,0,0,SC/PARIS 2133,15.0458,¯\(ツ)/¯,0,0,1,0,0,1,Mr
1,1,19.0,0,2,11752,26.2833,D47,2,0,0,0,1,0,Miss
0,1,37.0,1,0,113803,53.1,C123,1,0,0,0,1,1,Mr
0,3,16.0,0,0,7534,9.2167,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,1,24.0,0,0,PC 17593,79.2,B86,0,0,1,0,0,1,Mr
0,3,,0,2,2678,15.2458,¯\(ツ)/¯,2,0,1,0,0,0,Mrs
1,3,22.0,0,0,347081,7.75,¯\(ツ)/¯,0,0,0,0,1,0,Miss
1,3,24.0,1,0,STON/O2. 3101279,15.85,¯\(ツ)/¯,1,0,0,0,1,0,Mrs
0,3,19.0,0,0,365222,6.75,¯\(ツ)/¯,0,0,0,1,0,1,Mr
0,2,18.0,0,0,231945,11.5,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,2,19.0,1,1,C.A. 33112,36.75,¯\(ツ)/¯,2,0,0,0,1,1,Mr
1,3,27.0,0,0,350043,7.7958,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,9.0,2,2,W./C. 6608,34.375,¯\(ツ)/¯,4,0,0,0,1,0,Miss
0,2,36.5,0,2,230080,26.0,F2,2,0,0,0,1,1,Mr
0,2,42.0,0,0,244310,13.0,¯\(ツ)/¯,0,1,0,0,1,1,Rev
0,2,51.0,0,0,S.O.P. 1166,12.525,¯\(ツ)/¯,0,1,0,0,1,1,Rev
1,1,22.0,1,0,113776,66.6,C2,1,0,0,0,1,0,Mrs
0,3,55.5,0,0,A.5. 11206,8.05,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,40.5,0,2,A/5. 851,14.5,¯\(ツ)/¯,2,0,0,0,1,1,Mr
0,3,,0,0,Fa 265302,7.3125,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,1,51.0,0,1,PC 17597,61.3792,¯\(ツ)/¯,1,0,1,0,0,1,Mr
1,3,16.0,0,0,35851,7.7333,¯\(ツ)/¯,0,0,0,1,0,0,Miss
0,3,30.0,0,0,SOTON/OQ 392090,8.05,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,,0,0,315037,8.6625,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,,8,2,CA. 2343,69.55,¯\(ツ)/¯,10,0,0,0,1,1,Master
0,3,44.0,0,1,371362,16.1,¯\(ツ)/¯,1,0,0,0,1,1,Mr
1,2,40.0,0,0,C.A. 33595,15.75,¯\(ツ)/¯,0,0,0,0,1,0,Mrs
0,3,26.0,0,0,347068,7.775,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,17.0,0,0,315093,8.6625,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,1.0,4,1,3101295,39.6875,¯\(ツ)/¯,5,0,0,0,1,1,Master
1,3,9.0,0,2,363291,20.525,¯\(ツ)/¯,2,0,0,0,1,1,Master
1,1,,0,1,113505,55.0,E33,1,0,0,0,1,0,Mrs
0,3,45.0,1,4,347088,27.9,¯\(ツ)/¯,5,0,0,0,1,0,Mrs
0,1,,0,0,PC 17318,25.925,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,28.0,0,0,1601,56.4958,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,1,61.0,0,0,111240,33.5,B19,0,0,0,0,1,1,Mr
0,3,4.0,4,1,382652,29.125,¯\(ツ)/¯,5,0,0,1,0,1,Master
1,3,1.0,1,1,347742,11.1333,¯\(ツ)/¯,2,0,0,0,1,0,Miss
0,3,21.0,0,0,STON/O 2. 3101280,7.925,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,1,56.0,0,0,17764,30.6958,A7,0,0,1,0,0,1,Mr
0,3,18.0,1,1,350404,7.8542,¯\(ツ)/¯,2,0,0,0,1,1,Mr
0,3,,3,1,4133,25.4667,¯\(ツ)/¯,4,0,0,0,1,1,Master
0,1,50.0,0,0,PC 17595,28.7125,C49,0,0,1,0,0,0,Miss
0,2,30.0,0,0,250653,13.0,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,36.0,0,0,LINE,0.0,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,,8,2,CA. 2343,69.55,¯\(ツ)/¯,10,0,0,0,1,0,Miss
0,2,,0,0,SC/PARIS 2131,15.05,¯\(ツ)/¯,0,0,1,0,0,1,Mr
0,3,9.0,4,2,347077,31.3875,¯\(ツ)/¯,6,0,0,0,1,1,Master
1,2,1.0,2,1,230136,39.0,F4,3,0,0,0,1,1,Master
1,3,4.0,0,2,315153,22.025,¯\(ツ)/¯,2,0,0,0,1,0,Miss
0,1,,0,0,113767,50.0,A32,0,0,0,0,1,1,Mr
1,3,,1,0,370365,15.5,¯\(ツ)/¯,1,0,0,1,0,0,Mrs
1,1,45.0,0,0,111428,26.55,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,40.0,1,1,364849,15.5,¯\(ツ)/¯,2,0,0,1,0,1,Mr
0,3,36.0,0,0,349247,7.8958,¯\(ツ)/¯,0,0,0,0,1,1,Mr
1,2,32.0,0,0,234604,13.0,¯\(ツ)/¯,0,0,0,0,1,0,Mrs
0,2,19.0,0,0,28424,13.0,¯\(ツ)/¯,0,0,0,0,1,1,Mr
1,3,19.0,1,0,350046,7.8542,¯\(ツ)/¯,1,0,0,0,1,0,Miss
1,2,3.0,1,1,230080,26.0,F2,2,0,0,0,1,1,Master
1,1,44.0,0,0,PC 17610,27.7208,B4,0,0,1,0,0,0,Mrs
1,1,58.0,0,0,PC 17569,146.5208,B80,0,0,1,0,0,0,Miss
0,3,,0,0,368703,7.75,¯\(ツ)/¯,0,0,0,1,0,1,Mr
0,3,42.0,0,1,4579,8.4042,¯\(ツ)/¯,1,0,0,0,1,1,Mr
1,3,,0,0,370370,7.75,¯\(ツ)/¯,0,0,0,1,0,0,Miss
0,2,24.0,0,0,248747,13.0,¯\(ツ)/¯,0,0,0,0,1,0,Miss
0,3,28.0,0,0,345770,9.5,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,,8,2,CA. 2343,69.55,¯\(ツ)/¯,10,0,0,0,1,1,Mr
0,3,34.0,0,0,3101264,6.4958,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,45.5,0,0,2628,7.225,¯\(ツ)/¯,0,0,1,0,0,1,Mr
1,3,18.0,0,0,A/5 3540,8.05,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,2.0,0,1,347054,10.4625,G6,1,0,0,0,1,0,Miss
0,3,32.0,1,0,3101278,15.85,¯\(ツ)/¯,1,0,0,0,1,1,Mr
1,3,26.0,0,0,2699,18.7875,¯\(ツ)/¯,0,0,1,0,0,1,Mr
1,3,16.0,0,0,367231,7.75,¯\(ツ)/¯,0,0,0,1,0,0,Miss
1,1,40.0,0,0,112277,31.0,A31,0,0,1,0,0,1,Mr
0,3,24.0,0,0,SOTON/O.Q. 3101311,7.05,¯\(ツ)/¯,0,0,0,0,1,1,Mr
1,2,35.0,0,0,F.C.C. 13528,21.0,¯\(ツ)/¯,0,0,0,0,1,0,Miss
0,3,22.0,0,0,A/5 21174,7.25,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,2,30.0,0,0,250646,13.0,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,,1,0,367229,7.75,¯\(ツ)/¯,1,0,0,1,0,1,Mr
1,1,31.0,1,0,35273,113.275,D36,1,0,1,0,0,0,Miss
1,3,27.0,0,0,STON/O2. 3101283,7.925,¯\(ツ)/¯,0,0,0,0,1,0,Miss
0,2,42.0,1,0,243847,27.0,¯\(ツ)/¯,1,0,0,0,1,1,Mr
1,1,32.0,0,0,11813,76.2917,D15,0,0,1,0,0,0,Miss
